epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8641,2.38467,3.49467,2.28327,0.0039,0.55336,0.03303,0.01213,1.97099,3.33654,2.19173,0.09307,7e-05,7e-05
2,17.691,1.7192,2.98852,1.6841,0.00269,0.42886,0.04913,0.01453,2.30239,3.73992,2.27067,0.0851493,0.000149257,0.000149257
3,22.4129,1.49135,2.40263,1.47759,0.00469,0.66341,0.0812,0.02604,1.98452,3.46236,2.42339,0.0772277,0.000227723,0.000227723
4,27.1598,1.44202,2.05878,1.45158,0.00645,0.73772,0.1711,0.05702,2.10159,3.37707,2.3335,0.0693054,0.000305396,0.000305396
5,32.2468,1.41589,1.80816,1.45455,0.00422,0.54889,0.16827,0.06104,2.1873,3.75213,2.51213,0.0613823,0.000382278,0.000382278
6,36.9955,1.38982,1.64803,1.43176,0.83205,0.11111,0.2864,0.11066,1.99973,3.40045,2.27281,0.0534584,0.000458368,0.000458368
7,41.8958,1.39621,1.5617,1.42175,0.8045,0.34669,0.56044,0.27777,1.71892,2.80097,1.84082,0.0455337,0.000533665,0.000533665
8,46.8006,1.43856,1.4819,1.44734,0.7655,0.07692,0.36797,0.17012,1.75167,3.26354,1.89496,0.0376082,0.00060817,0.00060817
9,51.6923,1.412,1.37122,1.42773,0.71335,0.30941,0.49744,0.23729,1.75521,2.72787,1.80892,0.0296819,0.000681884,0.000681884
10,56.3607,1.33949,1.32612,1.38885,0.67637,0.49603,0.57476,0.27803,1.62117,2.23991,1.7748,0.0217548,0.000754805,0.000754805
11,61.0879,1.34452,1.27109,1.38211,0.57264,0.56127,0.61111,0.3424,1.56291,1.91949,1.6848,0.0138269,0.000826935,0.000826935
12,65.8832,1.37799,1.28834,1.43347,0.5068,0.42452,0.40101,0.19436,1.7804,2.19283,1.93926,0.00589827,0.000898272,0.000898272
13,71.0096,1.37194,1.231,1.39303,0.60423,0.46027,0.47564,0.21673,1.78949,2.28012,1.9584,0.0009406,0.0009406,0.0009406
14,76.1815,1.32535,1.21328,1.40344,0.62708,0.37355,0.28128,0.13583,1.72528,3.96037,1.87101,0.00093565,0.00093565,0.00093565
15,81.0144,1.36469,1.22873,1.39053,0.5875,0.4546,0.34411,0.12526,2.09805,2.55203,1.98341,0.0009307,0.0009307,0.0009307
16,85.8218,1.31486,1.16716,1.37994,0.6147,0.43603,0.46688,0.22017,1.7357,1.88395,1.81442,0.00092575,0.00092575,0.00092575
17,90.8576,1.36303,1.18081,1.39417,0.69778,0.57788,0.62912,0.27496,1.83262,2.22226,1.8965,0.0009208,0.0009208,0.0009208
18,95.8005,1.34407,1.1703,1.39193,0.78751,0.62226,0.68568,0.38593,1.7475,1.71171,1.86279,0.00091585,0.00091585,0.00091585
19,100.726,1.28927,1.15361,1.37299,0.58704,0.53812,0.55757,0.28086,1.8236,1.61971,2.13003,0.0009109,0.0009109,0.0009109
20,105.593,1.28284,1.11203,1.36251,0.58683,0.69378,0.58203,0.33601,1.57372,2.44612,1.70122,0.00090595,0.00090595,0.00090595
21,110.25,1.27278,1.08347,1.36695,0.52449,0.68204,0.6142,0.34529,1.55797,1.70809,1.69147,0.000901,0.000901,0.000901
22,114.923,1.27226,1.10733,1.34895,0.82514,0.62994,0.69404,0.37357,1.64318,1.50772,1.72772,0.00089605,0.00089605,0.00089605
23,119.586,1.26109,1.06141,1.35505,0.68904,0.67296,0.69392,0.3823,1.57361,1.5763,1.64301,0.0008911,0.0008911,0.0008911
24,124.332,1.2374,1.0502,1.3258,0.74227,0.55582,0.63805,0.32861,1.7809,1.88819,1.78457,0.00088615,0.00088615,0.00088615
25,129.258,1.24894,1.04726,1.32437,0.59735,0.54134,0.57064,0.31645,1.65132,2.1571,1.73252,0.0008812,0.0008812,0.0008812
26,134.044,1.21585,1.02019,1.31002,0.47765,0.43868,0.46134,0.24193,1.74896,2.82442,1.92793,0.00087625,0.00087625,0.00087625
27,138.784,1.25362,1.05158,1.32707,0.78188,0.56602,0.65637,0.38523,1.56607,1.81243,1.69953,0.0008713,0.0008713,0.0008713
28,143.459,1.21122,1.02399,1.33841,0.75496,0.69849,0.73415,0.37632,1.77938,1.45205,1.76855,0.00086635,0.00086635,0.00086635
29,148.157,1.19124,0.98612,1.3266,0.75739,0.61278,0.68782,0.39367,1.64681,1.33819,1.64437,0.0008614,0.0008614,0.0008614
30,152.847,1.20053,0.96524,1.30599,0.77586,0.53657,0.71696,0.41319,1.57341,1.42603,1.67186,0.00085645,0.00085645,0.00085645
31,157.531,1.18302,0.97252,1.29829,0.76948,0.66638,0.75007,0.36014,1.70812,1.38998,1.71068,0.0008515,0.0008515,0.0008515
32,162.685,1.17917,0.96854,1.29909,0.67947,0.70501,0.71384,0.38788,1.60644,1.40842,1.69244,0.00084655,0.00084655,0.00084655
33,167.789,1.1641,0.95152,1.29322,0.74265,0.73967,0.76351,0.45124,1.41794,1.22542,1.49319,0.0008416,0.0008416,0.0008416
