epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0876,2.39046,3.48491,2.26311,0.00536,0.55349,0.12657,0.05597,1.48198,3.07639,1.5852,0.09208,8e-05,8e-05
2,18.6872,1.65313,2.76098,1.60656,0.00418,0.66391,0.15101,0.05131,1.97628,3.69347,2.48782,0.0831694,0.000169439,0.000169439
3,24.2371,1.48376,2.21172,1.4495,0.00476,0.69006,0.1319,0.04906,2.16829,3.49505,2.50376,0.0742583,0.000258284,0.000258284
4,29.6839,1.45541,1.9523,1.43383,0.78307,0.13725,0.1795,0.05563,2.20302,3.31445,2.82303,0.0653465,0.000346535,0.000346535
5,35.238,1.42777,1.75539,1.43259,0.74166,0.0719,0.09633,0.02666,2.30218,3.71711,2.70847,0.0564342,0.000434192,0.000434192
6,40.8968,1.40231,1.56268,1.42887,0.7564,0.25548,0.43472,0.19924,1.87395,2.80201,2.25507,0.0475213,0.000521255,0.000521255
7,46.6088,1.40979,1.47727,1.41959,0.71226,0.25431,0.35499,0.19069,1.69121,2.85037,1.92959,0.0386077,0.000607724,0.000607724
8,53.0069,1.40908,1.40755,1.40083,0.72679,0.24595,0.371,0.16954,1.86608,2.58566,1.85293,0.0296936,0.000693599,0.000693599
9,58.5676,1.40012,1.34423,1.40559,0.66901,0.49337,0.58766,0.31557,1.59372,2.13913,1.76818,0.0207789,0.00077888,0.00077888
10,64.3661,1.39347,1.32462,1.42102,0.79902,0.23529,0.28255,0.12515,1.74556,2.7168,1.87281,0.0118636,0.000863567,0.000863567
11,69.9512,1.3638,1.28297,1.42026,0.72896,0.46984,0.59829,0.31198,1.62488,1.89469,1.70051,0.00294766,0.00094766,0.00094766
12,75.399,1.35323,1.26378,1.37162,0.57466,0.53884,0.58891,0.31933,1.62708,2.00301,1.74261,0.0009637,0.0009637,0.0009637
13,80.878,1.379,1.24992,1.40655,0.73282,0.66303,0.74433,0.39068,1.53391,1.55619,1.78936,0.0009604,0.0009604,0.0009604
14,86.6457,1.32803,1.22926,1.37596,0.61454,0.68559,0.71249,0.38594,1.65861,1.46379,1.83881,0.0009571,0.0009571,0.0009571
15,92.3174,1.39186,1.23933,1.40983,0.56572,0.69796,0.69812,0.38085,1.59033,1.47046,1.77862,0.0009538,0.0009538,0.0009538
16,98.0666,1.3319,1.18033,1.36999,0.638,0.53662,0.57868,0.29477,1.91891,1.79076,2.1444,0.0009505,0.0009505,0.0009505
17,103.693,1.32594,1.16993,1.37883,0.43608,0.36189,0.31812,0.13056,2.13985,2.5493,2.44373,0.0009472,0.0009472,0.0009472
18,109.077,1.31989,1.15604,1.36576,0.55436,0.51204,0.52377,0.27248,1.66857,1.91132,1.84332,0.0009439,0.0009439,0.0009439
19,114.547,1.30952,1.11358,1.36517,0.67308,0.47951,0.54044,0.27749,1.85845,1.89221,1.92381,0.0009406,0.0009406,0.0009406
20,120.109,1.29499,1.12921,1.34669,0.75097,0.63405,0.69713,0.36641,1.48867,1.63859,1.6041,0.0009373,0.0009373,0.0009373
21,125.578,1.26055,1.09998,1.33454,0.64967,0.45473,0.52986,0.26989,1.69259,2.11529,1.91283,0.000934,0.000934,0.000934
22,130.984,1.28126,1.10523,1.35219,0.86401,0.67457,0.78257,0.44399,1.47923,1.59334,1.6055,0.0009307,0.0009307,0.0009307
23,136.361,1.24341,1.03268,1.31296,0.8018,0.65477,0.78135,0.44632,1.58551,1.3512,1.65162,0.0009274,0.0009274,0.0009274
24,141.708,1.26378,1.03241,1.33226,0.55191,0.67836,0.59574,0.31317,1.80083,1.90274,1.94375,0.0009241,0.0009241,0.0009241
25,147.034,1.24581,1.00842,1.32715,0.81336,0.69975,0.78789,0.432,1.62423,1.38899,1.77139,0.0009208,0.0009208,0.0009208
26,152.353,1.24863,1.0143,1.32645,0.67089,0.74269,0.69966,0.35322,1.6829,1.60617,1.72759,0.0009175,0.0009175,0.0009175
27,157.739,1.25844,1.04067,1.33466,0.78654,0.66354,0.73996,0.43852,1.45361,1.69309,1.51759,0.0009142,0.0009142,0.0009142
28,163.015,1.24041,1.00954,1.32032,0.8195,0.69488,0.7889,0.49114,1.43504,1.32766,1.50629,0.0009109,0.0009109,0.0009109
29,168.355,1.22316,1.01641,1.29589,0.70768,0.70597,0.73843,0.43388,1.55909,1.59216,1.61217,0.0009076,0.0009076,0.0009076
30,173.724,1.21752,1.01532,1.30847,0.76804,0.70103,0.80971,0.51805,1.4091,1.15422,1.4995,0.0009043,0.0009043,0.0009043
31,179.013,1.18841,0.96246,1.28024,0.83036,0.73158,0.79723,0.46399,1.51715,1.16801,1.64403,0.000901,0.000901,0.000901
32,184.351,1.15474,0.95434,1.2645,0.64278,0.71709,0.75823,0.43994,1.47932,1.47306,1.65201,0.0008977,0.0008977,0.0008977
33,189.74,1.20194,0.97067,1.30209,0.66385,0.46162,0.44837,0.22932,1.60231,2.04537,1.71734,0.0008944,0.0008944,0.0008944
34,195.067,1.17495,0.96427,1.29832,0.58323,0.42019,0.51473,0.27754,1.78694,2.13533,2.04549,0.0008911,0.0008911,0.0008911
35,200.33,1.15923,0.92265,1.26763,0.71315,0.579,0.69221,0.38857,1.4784,1.5147,1.57686,0.0008878,0.0008878,0.0008878
36,205.601,1.16682,0.94658,1.26985,0.70355,0.57445,0.73219,0.39051,1.63919,1.38834,1.87662,0.0008845,0.0008845,0.0008845
37,210.894,1.15438,0.90676,1.2554,0.78094,0.75511,0.78056,0.50929,1.27971,1.13224,1.40993,0.0008812,0.0008812,0.0008812
38,216.216,1.14745,0.90564,1.27064,0.75962,0.74538,0.82855,0.48411,1.50923,1.1579,1.5214,0.0008779,0.0008779,0.0008779
39,221.602,1.15196,0.90659,1.26217,0.85142,0.76436,0.83086,0.44605,1.59172,1.12405,1.61573,0.0008746,0.0008746,0.0008746
40,226.923,1.14564,0.904,1.25744,0.81986,0.74063,0.8233,0.50154,1.35316,1.08979,1.38918,0.0008713,0.0008713,0.0008713
41,232.228,1.12039,0.86408,1.24536,0.83565,0.68713,0.79595,0.46378,1.41877,1.26438,1.43264,0.000868,0.000868,0.000868
42,237.519,1.11462,0.86902,1.25785,0.83855,0.71455,0.81435,0.50272,1.40834,1.0828,1.47624,0.0008647,0.0008647,0.0008647
43,242.822,1.1205,0.85574,1.25218,0.86939,0.71447,0.84437,0.52592,1.39738,1.05463,1.50149,0.0008614,0.0008614,0.0008614
44,248.239,1.08517,0.8526,1.23805,0.83371,0.78573,0.84732,0.46874,1.51797,1.09227,1.61565,0.0008581,0.0008581,0.0008581
45,253.585,1.05861,0.82963,1.21592,0.78327,0.78905,0.84858,0.49855,1.43015,1.11426,1.50464,0.0008548,0.0008548,0.0008548
46,258.86,1.07931,0.82941,1.22426,0.76149,0.6051,0.65969,0.4186,1.29922,1.34065,1.44632,0.0008515,0.0008515,0.0008515
47,264.12,1.10473,0.86237,1.25012,0.73979,0.68026,0.77311,0.44889,1.53546,1.24319,1.57006,0.0008482,0.0008482,0.0008482
48,269.414,1.05815,0.82087,1.2076,0.79614,0.74018,0.82567,0.50865,1.38867,1.02562,1.48899,0.0008449,0.0008449,0.0008449
49,274.723,1.08088,0.81519,1.21992,0.65544,0.73345,0.74155,0.44874,1.52953,1.33533,1.65974,0.0008416,0.0008416,0.0008416
50,280.078,1.08797,0.83025,1.24421,0.82995,0.76828,0.83645,0.54811,1.32172,0.98849,1.46667,0.0008383,0.0008383,0.0008383
51,285.39,1.10235,0.86721,1.25149,0.82718,0.68591,0.81845,0.516,1.40396,1.02486,1.53344,0.000835,0.000835,0.000835
52,290.716,1.08697,0.8416,1.23741,0.73328,0.72368,0.75032,0.38736,1.80436,1.14835,1.90652,0.0008317,0.0008317,0.0008317
53,296.089,1.12881,0.85278,1.24249,0.73233,0.64769,0.7442,0.41706,1.65805,1.22424,1.66236,0.0008284,0.0008284,0.0008284
54,301.346,1.09845,0.82054,1.22296,0.81443,0.67769,0.73835,0.46734,1.39064,1.28337,1.4525,0.0008251,0.0008251,0.0008251
55,306.695,1.06024,0.79713,1.22112,0.77911,0.78211,0.83203,0.52418,1.40234,1.04278,1.46719,0.0008218,0.0008218,0.0008218
56,311.966,1.07122,0.78256,1.21724,0.78032,0.71379,0.81648,0.49529,1.4027,1.089,1.52451,0.0008185,0.0008185,0.0008185
57,317.308,1.06047,0.79301,1.20298,0.84351,0.77276,0.85017,0.51427,1.40711,1.10786,1.51562,0.0008152,0.0008152,0.0008152
58,322.624,1.02352,0.78324,1.19398,0.80471,0.80325,0.8381,0.5279,1.31131,1.0146,1.39881,0.0008119,0.0008119,0.0008119
59,327.933,1.05483,0.8017,1.21687,0.82717,0.69247,0.81357,0.5292,1.26501,1.07289,1.37445,0.0008086,0.0008086,0.0008086
60,333.234,1.05344,0.78525,1.19309,0.83367,0.76016,0.83229,0.53891,1.31374,0.96424,1.44518,0.0008053,0.0008053,0.0008053
61,338.53,1.01034,0.758,1.19122,0.80159,0.77545,0.84207,0.53355,1.33501,0.98411,1.38727,0.000802,0.000802,0.000802
62,343.826,1.01592,0.78212,1.18037,0.8819,0.80646,0.87573,0.55808,1.26342,0.86733,1.35356,0.0007987,0.0007987,0.0007987
63,349.137,0.99755,0.73669,1.16866,0.76803,0.73084,0.81666,0.54051,1.2762,0.99391,1.32005,0.0007954,0.0007954,0.0007954
64,354.471,0.9951,0.74278,1.17607,0.78032,0.67341,0.83308,0.5363,1.32084,1.09578,1.38582,0.0007921,0.0007921,0.0007921
65,359.838,1.03292,0.76371,1.196,0.61364,0.66495,0.69979,0.43527,1.29976,1.36869,1.40931,0.0007888,0.0007888,0.0007888
66,365.106,1.01694,0.77187,1.19147,0.86784,0.70551,0.85712,0.55586,1.28379,0.9623,1.39971,0.0007855,0.0007855,0.0007855
67,370.481,1.01242,0.76491,1.19152,0.83036,0.78229,0.8435,0.55839,1.26466,0.94809,1.41253,0.0007822,0.0007822,0.0007822
68,375.905,0.98716,0.73248,1.17327,0.766,0.82319,0.84683,0.56547,1.32278,0.92319,1.40043,0.0007789,0.0007789,0.0007789
69,381.311,0.98944,0.72981,1.17087,0.82701,0.81111,0.84699,0.57262,1.28275,0.94617,1.38086,0.0007756,0.0007756,0.0007756
70,386.644,0.963,0.70708,1.15604,0.84988,0.78844,0.85667,0.57334,1.24422,0.90173,1.3362,0.0007723,0.0007723,0.0007723
71,392.004,0.99227,0.73035,1.17565,0.75373,0.81324,0.85488,0.56496,1.30225,0.89662,1.39173,0.000769,0.000769,0.000769
72,397.362,0.99104,0.71837,1.18032,0.84978,0.54988,0.75751,0.48841,1.32604,1.14539,1.44009,0.0007657,0.0007657,0.0007657
73,402.637,0.96396,0.71855,1.17054,0.67715,0.56897,0.65719,0.40033,1.51455,1.41275,1.60786,0.0007624,0.0007624,0.0007624
74,407.934,0.98408,0.70423,1.16449,0.71577,0.76608,0.805,0.52274,1.3488,1.07726,1.47409,0.0007591,0.0007591,0.0007591
75,413.226,1.01548,0.73305,1.18415,0.77235,0.6955,0.78301,0.47327,1.4956,1.14403,1.63413,0.0007558,0.0007558,0.0007558
76,418.528,0.97733,0.70297,1.16146,0.8651,0.71347,0.84772,0.53952,1.38561,1.0355,1.50252,0.0007525,0.0007525,0.0007525
77,423.834,0.97425,0.70536,1.17129,0.75545,0.82845,0.86491,0.55506,1.28316,0.95115,1.44509,0.0007492,0.0007492,0.0007492
78,429.184,0.94493,0.7112,1.16514,0.57952,0.68283,0.71638,0.45828,1.392,1.27026,1.45322,0.0007459,0.0007459,0.0007459
79,434.448,0.95574,0.69464,1.15477,0.78887,0.76399,0.82466,0.55136,1.22854,0.95924,1.37459,0.0007426,0.0007426,0.0007426
80,439.781,0.95027,0.69667,1.14121,0.88014,0.73607,0.85854,0.55534,1.26522,0.95821,1.43792,0.0007393,0.0007393,0.0007393
81,445.097,0.94886,0.69769,1.15158,0.88138,0.76589,0.86837,0.57799,1.23515,0.90848,1.41453,0.000736,0.000736,0.000736
82,450.426,0.93298,0.68744,1.14654,0.83171,0.79318,0.87542,0.54758,1.31426,0.94806,1.40268,0.0007327,0.0007327,0.0007327
83,455.748,0.9615,0.66598,1.14729,0.86173,0.7334,0.84715,0.54984,1.30331,0.92604,1.44977,0.0007294,0.0007294,0.0007294
84,461.149,0.92318,0.6755,1.13919,0.79978,0.76434,0.8244,0.53532,1.30534,0.94309,1.40983,0.0007261,0.0007261,0.0007261
85,466.499,0.96245,0.69704,1.16568,0.85389,0.79611,0.84066,0.56535,1.26874,0.91888,1.37608,0.0007228,0.0007228,0.0007228
86,471.815,0.95091,0.67547,1.14881,0.75673,0.80457,0.85556,0.55357,1.355,1.02228,1.42706,0.0007195,0.0007195,0.0007195
87,477.135,0.91945,0.66544,1.12945,0.80332,0.71737,0.82921,0.52441,1.396,1.0582,1.52728,0.0007162,0.0007162,0.0007162
88,482.451,0.96353,0.6903,1.15448,0.82514,0.61582,0.69949,0.4507,1.35884,1.18502,1.46152,0.0007129,0.0007129,0.0007129
89,487.801,0.92481,0.66981,1.15055,0.92199,0.76966,0.87833,0.58785,1.23013,0.84388,1.34474,0.0007096,0.0007096,0.0007096
90,493.088,0.89135,0.65508,1.12565,0.883,0.74992,0.88883,0.5675,1.27938,0.92542,1.36262,0.0007063,0.0007063,0.0007063
91,498.391,0.90713,0.63656,1.13342,0.87984,0.81421,0.87955,0.55882,1.2988,0.92725,1.42422,0.000703,0.000703,0.000703
92,503.687,0.93521,0.66896,1.14425,0.81701,0.79051,0.85103,0.51926,1.35496,1.02464,1.47443,0.0006997,0.0006997,0.0006997
93,508.984,0.90636,0.67123,1.14006,0.83776,0.69453,0.80901,0.49069,1.34064,1.12134,1.46445,0.0006964,0.0006964,0.0006964
94,514.284,0.90386,0.65564,1.1353,0.83745,0.65887,0.788,0.46426,1.48498,1.17525,1.58586,0.0006931,0.0006931,0.0006931
95,519.664,0.90189,0.6226,1.12794,0.81073,0.70259,0.77793,0.48383,1.38014,1.12766,1.57382,0.0006898,0.0006898,0.0006898
96,524.981,0.87298,0.63288,1.1178,0.79373,0.79257,0.82162,0.52962,1.32668,1.00726,1.45734,0.0006865,0.0006865,0.0006865
97,530.303,0.92402,0.64723,1.14247,0.78723,0.83164,0.84068,0.54845,1.30477,1.00621,1.43666,0.0006832,0.0006832,0.0006832
98,535.578,0.89704,0.63883,1.12981,0.90839,0.78639,0.87198,0.57661,1.29658,0.85298,1.37954,0.0006799,0.0006799,0.0006799
99,540.899,0.88971,0.63362,1.1177,0.83162,0.76808,0.84929,0.55439,1.3466,0.93909,1.46419,0.0006766,0.0006766,0.0006766
100,546.253,0.89886,0.63351,1.12145,0.70981,0.73492,0.85373,0.55296,1.26758,1.01791,1.45659,0.0006733,0.0006733,0.0006733
101,551.617,0.88323,0.62779,1.11234,0.70728,0.78158,0.81931,0.5361,1.33641,1.06662,1.43494,0.00067,0.00067,0.00067
102,556.931,0.88176,0.63708,1.11882,0.81753,0.7034,0.8551,0.56516,1.32416,1.01809,1.39227,0.0006667,0.0006667,0.0006667
103,562.168,0.87546,0.63113,1.12123,0.77193,0.69564,0.81514,0.56232,1.25108,1.10562,1.37404,0.0006634,0.0006634,0.0006634
104,567.474,0.87559,0.62463,1.12121,0.76597,0.85548,0.88133,0.56653,1.32167,0.89808,1.45383,0.0006601,0.0006601,0.0006601
105,572.841,0.89726,0.61385,1.11892,0.85958,0.77665,0.85684,0.59198,1.24504,0.87079,1.39313,0.0006568,0.0006568,0.0006568
106,578.225,0.88834,0.61653,1.1222,0.79748,0.80854,0.85717,0.58625,1.21305,0.859,1.32706,0.0006535,0.0006535,0.0006535
107,583.585,0.85919,0.60506,1.12514,0.88602,0.69022,0.84239,0.55021,1.30361,0.94073,1.39599,0.0006502,0.0006502,0.0006502
108,588.893,0.90363,0.62242,1.11681,0.83172,0.75443,0.85727,0.516,1.46666,1.00197,1.51309,0.0006469,0.0006469,0.0006469
109,594.2,0.87739,0.61581,1.11016,0.81203,0.84235,0.86485,0.56058,1.23511,0.87639,1.38887,0.0006436,0.0006436,0.0006436
110,599.568,0.86379,0.6064,1.11096,0.85737,0.75407,0.85664,0.56832,1.22672,0.90927,1.39256,0.0006403,0.0006403,0.0006403
111,604.917,0.85722,0.60329,1.11314,0.79371,0.82787,0.83824,0.54729,1.25009,0.92989,1.42946,0.000637,0.000637,0.000637
112,610.246,0.8596,0.59345,1.10765,0.82003,0.82153,0.84387,0.55151,1.24473,0.9176,1.38825,0.0006337,0.0006337,0.0006337
113,615.571,0.87581,0.60391,1.11315,0.87348,0.78076,0.87522,0.57666,1.26466,0.85979,1.35103,0.0006304,0.0006304,0.0006304
114,620.863,0.84082,0.58813,1.09521,0.77514,0.8497,0.85901,0.58342,1.22945,0.87445,1.33668,0.0006271,0.0006271,0.0006271
115,626.148,0.84997,0.59016,1.09398,0.77523,0.81582,0.83701,0.55659,1.30358,0.98155,1.39913,0.0006238,0.0006238,0.0006238
116,631.424,0.84786,0.59486,1.09988,0.86027,0.8125,0.85422,0.58482,1.26719,0.86372,1.3794,0.0006205,0.0006205,0.0006205
117,636.801,0.8789,0.61362,1.09892,0.8544,0.76942,0.86119,0.55326,1.32623,0.90043,1.39814,0.0006172,0.0006172,0.0006172
118,642.147,0.84291,0.59462,1.09319,0.87503,0.77722,0.85279,0.57693,1.30107,0.89535,1.42772,0.0006139,0.0006139,0.0006139
119,647.384,0.82493,0.57824,1.09517,0.90229,0.82017,0.89219,0.57899,1.27278,0.86243,1.43465,0.0006106,0.0006106,0.0006106
120,652.716,0.81081,0.59415,1.08707,0.78587,0.85732,0.85917,0.60342,1.2328,0.94664,1.38387,0.0006073,0.0006073,0.0006073
121,657.991,0.84467,0.59977,1.09956,0.87672,0.73994,0.86069,0.58768,1.26645,0.87243,1.411,0.000604,0.000604,0.000604
122,663.296,0.83872,0.60117,1.09978,0.86859,0.79108,0.87658,0.5736,1.31439,0.91461,1.45064,0.0006007,0.0006007,0.0006007
123,668.635,0.78726,0.57077,1.0824,0.8302,0.81227,0.87796,0.57856,1.33919,0.94033,1.50776,0.0005974,0.0005974,0.0005974
124,673.924,0.78955,0.56739,1.07671,0.7719,0.85157,0.87511,0.5885,1.3069,0.93313,1.43494,0.0005941,0.0005941,0.0005941
125,679.21,0.78563,0.56603,1.08049,0.83192,0.79829,0.85292,0.55088,1.33998,0.90739,1.44521,0.0005908,0.0005908,0.0005908
126,684.535,0.80245,0.56083,1.09112,0.79126,0.78032,0.85518,0.56985,1.23613,0.89958,1.34029,0.0005875,0.0005875,0.0005875
127,689.794,0.82019,0.57603,1.08875,0.78745,0.71792,0.83526,0.56513,1.24973,0.97477,1.37284,0.0005842,0.0005842,0.0005842
128,695.064,0.81251,0.56177,1.07177,0.83102,0.74671,0.83891,0.568,1.25915,0.8986,1.3479,0.0005809,0.0005809,0.0005809
129,700.484,0.80749,0.57321,1.08116,0.82821,0.72239,0.82996,0.54894,1.28232,0.93882,1.37822,0.0005776,0.0005776,0.0005776
130,705.769,0.7796,0.55048,1.06376,0.81858,0.70564,0.81665,0.5652,1.22104,0.98275,1.35388,0.0005743,0.0005743,0.0005743
131,711.149,0.83514,0.58567,1.10018,0.77542,0.77503,0.84924,0.58471,1.18242,0.89189,1.33183,0.000571,0.000571,0.000571
132,716.445,0.80643,0.55411,1.07079,0.80919,0.76798,0.8391,0.54892,1.36688,0.93657,1.47679,0.0005677,0.0005677,0.0005677
133,721.741,0.80949,0.57007,1.08172,0.76002,0.70317,0.79197,0.53428,1.29,1.08717,1.4439,0.0005644,0.0005644,0.0005644
134,727.18,0.78302,0.54967,1.05218,0.85785,0.73767,0.85761,0.56092,1.29524,0.92433,1.40353,0.0005611,0.0005611,0.0005611
135,732.493,0.76788,0.53708,1.06217,0.85477,0.74944,0.83944,0.55086,1.2706,0.94002,1.456,0.0005578,0.0005578,0.0005578
136,737.782,0.78448,0.55268,1.06305,0.76607,0.82237,0.84559,0.55822,1.29058,0.86007,1.43643,0.0005545,0.0005545,0.0005545
137,743.177,0.77682,0.53717,1.07369,0.82543,0.81228,0.86539,0.56752,1.24964,0.82563,1.40929,0.0005512,0.0005512,0.0005512
138,748.489,0.80679,0.56614,1.07334,0.87633,0.73826,0.85097,0.56639,1.23546,0.88973,1.37206,0.0005479,0.0005479,0.0005479
139,753.827,0.7742,0.55656,1.06831,0.75863,0.75758,0.83275,0.57898,1.23176,1.06939,1.36041,0.0005446,0.0005446,0.0005446
140,759.27,0.77659,0.54432,1.05672,0.86401,0.7382,0.85532,0.55688,1.32829,0.88708,1.49429,0.0005413,0.0005413,0.0005413
141,764.638,0.80418,0.55908,1.07112,0.80037,0.7715,0.84515,0.56361,1.32468,0.93755,1.4324,0.000538,0.000538,0.000538
142,769.944,0.77581,0.53573,1.0684,0.8499,0.74267,0.87417,0.58627,1.27258,0.91225,1.41615,0.0005347,0.0005347,0.0005347
143,775.261,0.78268,0.52947,1.05754,0.82026,0.67949,0.82095,0.54288,1.31702,1.03356,1.48246,0.0005314,0.0005314,0.0005314
144,780.58,0.74733,0.52669,1.05691,0.79796,0.79257,0.85347,0.54993,1.3318,0.94547,1.46641,0.0005281,0.0005281,0.0005281
145,785.919,0.80321,0.543,1.07428,0.78572,0.7611,0.86457,0.57973,1.25501,0.87413,1.39364,0.0005248,0.0005248,0.0005248
